iter	Passed	Remaining
878	1566	215
879	1567	213
880	1569	211
881	1570	210
882	1572	208
883	1574	206
884	1575	204
885	1576	202
886	1578	201
887	1580	199
888	1582	197
889	1583	195
890	1584	193
891	1586	192
892	1588	190
893	1590	188
894	1591	186
895	1593	184
896	1594	183
897	1595	181
898	1598	179
899	1600	177
900	1602	176
901	1603	174
902	1604	172
903	1606	170
904	1608	168
905	1609	167
906	1611	165
907	1612	163
908	1614	161
909	1616	159
910	1618	158
911	1620	156
912	1621	154
913	1622	152
914	1624	150
915	1626	149
916	1627	147
917	1629	145
918	1631	143
919	1633	142
920	1634	140
921	1636	138
922	1638	136
923	1639	134
924	1640	133
925	1642	131
926	1643	129
927	1645	127
928	1647	125
929	1649	124
930	1650	122
931	1651	120
932	1652	118
933	1655	116
934	1656	115
935	1658	113
936	1659	111
937	1661	109
938	1662	108
939	1664	106
940	1666	104
941	1668	102
942	1669	100
943	1670	99
944	1672	97
945	1674	95
946	1676	93
947	1679	92
948	1680	90
949	1681	88
950	1683	86
951	1685	84
952	1687	83
953	1688	81
954	1689	79
955	1691	77
956	1697	76
957	1699	74
958	1701	72
959	1702	70
960	1704	69
961	1707	67
962	1709	65
963	1712	63
964	1714	62
965	1715	60
966	1716	58
967	1717	56
968	1719	54
969	1720	53
970	1721	51
971	1726	49
972	1729	47
973	1733	46
974	1736	44
975	1739	42
976	1743	41
977	1745	39
978	1748	37
979	1751	35
980	1754	33
981	1757	32
982	1759	30
983	1763	28
984	1765	26
985	1768	25
986	1771	23
987	1773	21
988	1774	19
989	1775	17
990	1775	16
991	1776	14
992	1778	12
993	1779	10
994	1780	8
995	1780	7
996	1781	5
997	1782	3
998	1783	1
999	1784	0
